СВОДКА ПО РАССЫЛКЕ
Дата отчета;13.02.2026 20:29 МСК

Показатель;Значение
Всего групп в базе;694
Успешно отправлено;458
Не удалось отправить (нет прав);41
Вышли из групп;301
Сейчас в группах (joined);198
Не вошли - истекшие ссылки;59
Не вошли - FloodWait (лимит Telegram);57
Не вошли - другие ошибки;8
В очереди (pending);71


УСПЕШНЫЕ ОТПРАВКИ
N;Группа;Город;Адрес;Ссылка на группу;Ссылка на сообщение;Дата и время отправки
161;Космонавтов ул, 38;;Люберцы г, Космонавтов ул, 38;https://t.me/+mIBXq5-yE240NmE6;https://t.me/c/1726452409/3906;11.02.2026 15:21
162;Космонавтов ул, 40;;Люберцы г, Космонавтов ул, 40;https://t.me/+V3eRoE4rPdM4NTAy;https://t.me/c/1756688506/2537;11.02.2026 15:22
163;Космонавтов ул, 42;;Люберцы г, Космонавтов ул, 42;https://t.me/+zE6JS6pz2bExNmFi;https://t.me/c/1605023973/4588;11.02.2026 15:22
164;Космонавтов ул, 44;;Люберцы г, Космонавтов ул, 44;https://t.me/+V8geQ_aRgC9kMzZi;https://t.me/c/1616125827/3325;11.02.2026 15:23
165;Космонавтов ул, 46;;Люберцы г, Космонавтов ул, 46;https://t.me/+1VUFa24q-igxZjMy;https://t.me/c/787294640/444;11.02.2026 15:23
166;Космонавтов ул, 48;;Люберцы г, Космонавтов ул, 48;https://t.me/+MlsSyorZc-k0NTNi;https://t.me/c/1757980082/5166;11.02.2026 15:24
167;Космонавтов ул, 50;;Люберцы г, Космонавтов ул, 50;https://t.me/+YReadGeC_pM2NTVi;https://t.me/c/1712131070/5059;11.02.2026 15:24
168;Космонавтов ул, 52;;Люберцы г, Космонавтов ул, 52;https://t.me/+mIqgoJ_zzTxhZmMy;https://t.me/c/1701574645/1775;11.02.2026 15:25
169;Космонавтов ул,14;;Люберцы г, Космонавтов ул, 14;https://t.me/+DUlkZqGxo8FkZTU6;https://t.me/c/1743268872/2810;11.02.2026 15:25
170;Космонавтов ул. 30;;Люберцы г, Космонавтов ул, 30;https://t.me/+Z45C7i7YOfY0YWQ6;https://t.me/c/1627187018/4443;11.02.2026 15:26
171;Котельническая ул, 15 А;;Люберцы г, Котельническая ул, 15 А;https://t.me/+K_PLfCI16k5hYzky;https://t.me/c/1639650459/952;11.02.2026 15:27
172;Красная горка Комсомольский 12;;Люберцы г, Комсомольский пр-кт, 12;https://t.me/+inHg-SQ_5Bc2ODQ6;https://t.me/c/420936300/445;11.02.2026 15:27
173;Красная горка Победы 4;;Люберцы г, Победы пр-кт, 4;https://t.me/+lxaRwPZr86ViNDgy;https://t.me/c/605484153/446;11.02.2026 15:28
174;Люберцы г, 3-е п/о, 1;;Люберцы г, 3-е почтовое отделение ул, 1;https://t.me/+HI6PCgCAEFc4MTli;https://t.me/c/1651147570/9650;11.02.2026 15:28
175;Люберцы г, 3-е п/о, 10;;Люберцы г, 3-е почтовое отделение ул, 10;https://t.me/+YtT7YulqhzE0OTky;https://t.me/c/1904103014/3245;11.02.2026 15:29
176;Люберцы г, 3-е п/о, 11;;Люберцы г, 3-е почтовое отделение ул, 11;https://t.me/+mXmKEP_pNcM0MDQ6;https://t.me/c/699174765/447;11.02.2026 15:29
177;Люберцы г, 3-е п/о, 12;;Люберцы г, 3-е почтовое отделение ул, 12;https://t.me/+Xm2rvDOM75tmMDZi;https://t.me/c/1941206725/1215;11.02.2026 15:30
178;Люберцы г, 3-е п/о, 13;;Люберцы г, 3-е почтовое отделение ул, 13;https://t.me/+rPeGTOpNuXNlNTNi;https://t.me/c/1915607583/3469;11.02.2026 15:30
179;Люберцы г, 3-е п/о, 14;;Люберцы г, 3-е почтовое отделение ул, 14;https://t.me/+3yKd2VPxlvUwYTQy;https://t.me/c/1876817433/4343;11.02.2026 15:31
180;Люберцы г, 3-е п/о, 15;;Люберцы г, 3-е почтовое отделение ул, 15;https://t.me/+IursZsnibfsxYTgy;https://t.me/c/1900266345/4519;11.02.2026 15:32
181;Люберцы г, 3-е п/о, 16;;Люберцы г, 3-е почтовое отделение ул, 16;https://t.me/+bsKV_OYTUPBmZGJi;https://t.me/c/1986288943/2993;11.02.2026 15:32
182;Люберцы г, 3-е п/о, 17;;Люберцы г, 3-е почтовое отделение ул, 17;https://t.me/+o4Ctj2uYcuIxN2Uy;https://t.me/c/615552523/448;11.02.2026 15:33
183;Люберцы г, 3-е п/о, 18;;Люберцы г, 3-е почтовое отделение ул, 18;https://t.me/+YC1JFNiwfcU4YzAy;https://t.me/c/1881639205/2013;11.02.2026 15:33
184;Люберцы г, 3-е п/о, 19;;Люберцы г, 3-е почтовое отделение ул, 19;https://t.me/+miqChbn_6GA4MTJi;https://t.me/c/1982969611/5420;11.02.2026 15:34
185;Люберцы г, 3-е п/о, 2;;Люберцы г, 3-е почтовое отделение ул, 2;https://t.me/+5v9rZozMvtQ2YzMy;https://t.me/c/1655538168/30796;11.02.2026 15:34
186;Люберцы г, 3-е п/о, 20;;Люберцы г, 3-е почтовое отделение ул, 20;https://t.me/+8P6fySx5l81lMTky;https://t.me/c/1807834033/3587;11.02.2026 15:35
187;Люберцы г, 3-е п/о, 21;;Люберцы г, 3-е почтовое отделение ул, 21;https://t.me/+Im2sjJYE4doxN2Ri;https://t.me/c/1827583331/2449;11.02.2026 15:35
188;Люберцы г, 3-е п/о, 22;;Люберцы г, 3-е почтовое отделение ул, 22;https://t.me/+KtBIuTBXED85ZGVi;https://t.me/c/1916237974/3427;11.02.2026 15:36
189;Люберцы г, 3-е п/о, 23;;Люберцы г, 3-е почтовое отделение ул, 23;https://t.me/+apdOkvz5qv04Nzdi;https://t.me/c/1911283544/1286;11.02.2026 15:36
190;Люберцы г, 3-е п/о, 24;;Люберцы г, 3-е почтовое отделение ул, 24;https://t.me/+iakJrCxjO3diMzUy;https://t.me/c/1989207052/3349;11.02.2026 15:37
191;Люберцы г, 3-е п/о, 25;;Люберцы г, 3-е почтовое отделение ул, 25;https://t.me/+5zUGcTAYQg84NjFi;https://t.me/c/1979536997/4886;11.02.2026 15:37
192;Люберцы г, 3-е п/о, 26;;Люберцы г, 3-е почтовое отделение ул, 26;https://t.me/+xol2aN-Ozf80MzQ6;https://t.me/c/1862765180/3648;11.02.2026 15:38
193;Люберцы г, 3-е п/о, 27;;Люберцы г, 3-е почтовое отделение ул, 27;https://t.me/+2LTzi8UMHspiZDNi;https://t.me/c/1670321595/4481;11.02.2026 15:38
194;Люберцы г, 3-е п/о, 3;;Люберцы г, 3-е почтовое отделение ул, 3;https://t.me/+-EVibbDKQMwyOTNi;https://t.me/c/1635144003/1735;11.02.2026 15:39
195;Люберцы г, 3-е п/о, 30;;Люберцы г, 3-е почтовое отделение ул, 30;https://t.me/+slCtbF_KGJM0NTNi;https://t.me/c/1632911980/3647;11.02.2026 15:40
196;Люберцы г, 3-е п/о, 31;;Люберцы г, 3-е почтовое отделение ул, 31;https://t.me/+lvIEzPg8o5M3MjAy;https://t.me/c/1813522568/4631;11.02.2026 15:40
197;Люберцы г, 3-е п/о, 33;;Люберцы г, 3-е почтовое отделение ул, 33;https://t.me/+2_1IUMZWgKQwNWYy;https://t.me/c/1587188098/13856;11.02.2026 15:41
198;Люберцы г, 3-е п/о, 34;;Люберцы г, 3-е почтовое отделение ул, 34;https://t.me/+x7G2no9-8swwOTgy;https://t.me/c/1641659848/5536;11.02.2026 15:41
199;Люберцы г, 3-е п/о, 35;;Люберцы г, 3-е почтовое отделение ул, 35;https://t.me/+FBK8uvppNmExY2Yy;https://t.me/c/1690966985/9018;11.02.2026 15:42
200;Люберцы г, 3-е п/о, 36;;Люберцы г, 3-е почтовое отделение ул, 36;https://t.me/+XL1FmziexU8yNjcy;https://t.me/c/1585331387/29360;11.02.2026 15:42
201;Люберцы г, 3-е п/о, 37;;Люберцы г, 3-е почтовое отделение ул, 37;https://t.me/+YkX93WzeN4o0OWNi;https://t.me/c/1728719653/1907;11.02.2026 15:43
202;Люберцы г, 3-е п/о, 38;;Люберцы г, 3-е почтовое отделение ул, 38;https://t.me/+njeKtLWscwYzMjhi;https://t.me/c/1639390433/5009;11.02.2026 15:43
203;Люберцы г, 3-е п/о, 39;;Люберцы г, 3-е почтовое отделение ул, 39;https://t.me/+ouymhvnQSD4zODky;https://t.me/c/1759903420/6074;11.02.2026 15:44
204;Люберцы г, 3-е п/о, 4;;Люберцы г, 3-е почтовое отделение ул, 4;https://t.me/+xU1n4EJ1a0NlN2Ey;https://t.me/c/1986478302/1210;11.02.2026 15:44
205;Люберцы г, 3-е п/о, 40;;Люберцы г, 3-е почтовое отделение ул, 40;https://t.me/+aTrFIBDRiD42NjNi;https://t.me/c/1676802578/4154;11.02.2026 15:45
206;Люберцы г, 3-е п/о, 41;;Люберцы г, 3-е почтовое отделение ул, 41;https://t.me/+Vbmx4sxlJOsxYmZi;https://t.me/c/1675758822/3026;11.02.2026 15:45
207;Люберцы г, 3-е п/о, 52;;Люберцы г, 3-е почтовое отделение ул, 52;https://t.me/+oDVDui5lNhNkZGYy;https://t.me/c/1792556098/10280;11.02.2026 15:47
208;Люберцы г, 3-е п/о, 53;;Люберцы г, 3-е почтовое отделение ул, 53;https://t.me/+lLq55YZSoZNjZmIy;https://t.me/c/1759404404/2920;11.02.2026 15:47
209;Люберцы г, 3-е п/о, 54;;Люберцы г, 3-е почтовое отделение ул, 54;https://t.me/+ZHjBmnI2EHs1ZTAy;https://t.me/c/1629288874/11683;11.02.2026 15:48
210;Люберцы г, 3-е п/о, 56;;Люберцы г, 3-е почтовое отделение ул, 56;https://t.me/+5qLAEjnXgRQyYzhi;https://t.me/c/1738941846/4935;11.02.2026 15:48
211;Люберцы г, 3-е п/о, 58;;Люберцы г, 3-е почтовое отделение ул, 58;https://t.me/+JJVpnYDDLBU3YmYy;https://t.me/c/1688414541/6679;11.02.2026 15:49
212;Люберцы г, 3-е п/о, 6;;Люберцы г, 3-е почтовое отделение ул, 6;https://t.me/+T6BpT67ZfiQ1ZDJi;https://t.me/c/1827934649/1677;11.02.2026 15:50
213;Люберцы г, 3-е п/о, 60;;Люберцы г, 3-е почтовое отделение ул, 60;https://t.me/+uzC8bB5qKvs1MTQy;https://t.me/c/1763535822/6383;11.02.2026 15:50
214;Люберцы г, 3-е п/о, 62;;Люберцы г, 3-е почтовое отделение ул, 62;https://t.me/+Wi7ln9q3p4NhMjhi;https://t.me/c/1791201590/10582;11.02.2026 15:51
215;Люберцы г, 3-е п/о, 64;;Люберцы г, 3-е почтовое отделение ул, 64;https://t.me/+fVxmhtJCOgoxYjI6;https://t.me/c/1715222090/15161;11.02.2026 15:51
216;Люберцы г, 3-е п/о, 66;;Люберцы г, 3-е почтовое отделение ул, 66;https://t.me/+btsg-Utd0KVhMjNi;https://t.me/c/1796772158/13423;11.02.2026 15:52
217;Люберцы г, 3-е п/о, 68;;Люберцы г, 3-е почтовое отделение ул, 68;https://t.me/+tlUrFr_lNjxjOGVi;https://t.me/c/1797512265/15362;11.02.2026 15:52
218;Люберцы г, 3-е п/о, 7;;Люберцы г, 3-е почтовое отделение ул, 7;https://t.me/+br6mdYulaVM0MWFi;https://t.me/c/1904373237/12055;11.02.2026 15:53
219;Люберцы г, 3-е п/о, 70;;Люберцы г, 3-е почтовое отделение ул, 70;https://t.me/+H6i-sGSO0B1mYTQy;https://t.me/c/1889164348/10508;11.02.2026 15:53
220;Люберцы г, 3-е п/о, 72;;Люберцы г, 3-е почтовое отделение ул, 72;https://t.me/+BzwvFxo0NlQzMGMy;https://t.me/c/1841737341/10739;11.02.2026 15:54
221;Люберцы г, 3-е п/о, 74;;Люберцы г, 3-е почтовое отделение ул, 74;https://t.me/+L1IpqBYgbvoxYzMy;https://t.me/c/1751685814/5563;11.02.2026 15:54
222;Люберцы г, 3-е п/о, 78;;Люберцы г, 3-е почтовое отделение ул, 78;https://t.me/+Uh2K_BmFeD5iYjky;https://t.me/c/1683755320/7552;11.02.2026 15:55
223;Люберцы г, 3-е п/о, 80;;Люберцы г, 3-е почтовое отделение ул, 80;https://t.me/+WITqEJ_LlYY3NDZi;https://t.me/c/1611656554/6349;11.02.2026 15:55
224;Люберцы г, 3-е п/о, 84;;Люберцы г, 3-е почтовое отделение ул, 84;https://t.me/+YXhdOjS-lBZiMzYy;https://t.me/c/1845040702/2359;11.02.2026 15:56
225;Люберцы г, 3-е п/о, 86;;Люберцы г, 3-е почтовое отделение ул, 86;https://t.me/+Pl57FBHuUSwwNGIy;https://t.me/c/1766621289/6170;11.02.2026 15:56
226;Люберцы г, 3-е п/о, 88;;Люберцы г, 3-е почтовое отделение ул, 88;https://t.me/+FOGg4P8FzA81Mjky;https://t.me/c/1827548054/7698;11.02.2026 15:57
227;Люберцы г, 3-е п/о, 9;;Люберцы г, 3-е почтовое отделение ул, 9;https://t.me/+tCK--Kx9yJMxZTgy;https://t.me/c/1750652102/9241;11.02.2026 15:58
228;Люберцы г, 3-е п/о, 90;;Люберцы г, 3-е почтовое отделение ул, 90;https://t.me/+7UkaqFYdU0g3YTk6;https://t.me/c/1696639831/4795;11.02.2026 15:58
229;Люберцы г, 3-е п/о, 94;;Люберцы г, 3-е почтовое отделение ул, 94;https://t.me/+Rb5y73isC484ZDEy;https://t.me/c/1640355821/1506;11.02.2026 15:59
230;Люберцы, п. ВУГИ, д.10;;ВУГИ, д.10;https://t.me/+x9MDFjRAmGUxODU6;https://t.me/c/746035540/449;11.02.2026 15:59
231;Люберцы, п. ВУГИ, д.11;;ВУГИ, д.11;https://t.me/+44tnug97u2UxMjgy;https://t.me/c/684791705/450;11.02.2026 16:00
232;Люберцы, п. ВУГИ, д.12;;ВУГИ, д.12;https://t.me/+mWFxxpj0xas0NTM6;https://t.me/c/765161695/451;11.02.2026 16:00
233;Люберцы, п. ВУГИ, д.13;;ВУГИ, д.13;https://t.me/+Om8lUFx18-Y1MjVi;https://t.me/c/776942785/452;11.02.2026 16:01
234;Люберцы, п. ВУГИ, д.14;;ВУГИ, д.14;https://t.me/+nFE8l1r7nTszZmMy;https://t.me/c/630396492/453;11.02.2026 16:01
235;Люберцы, п. ВУГИ, д.15;;ВУГИ, д.15;https://t.me/+GTUHM7NEySUzM2Ri;https://t.me/c/762810923/454;11.02.2026 16:02
236;Люберцы, п. ВУГИ, д.17;;ВУГИ, д.17;https://t.me/+9PEr_LInifA3Njg6;https://t.me/c/677684895/455;11.02.2026 16:02
237;Люберцы, п. ВУГИ, д.18;;ВУГИ, д.18;https://t.me/+IeXTWssC-Ik3NTcy;https://t.me/c/602463559/456;11.02.2026 16:03
238;Люберцы, п. ВУГИ, д.2;;ВУГИ, д.2;https://t.me/+viNadfzvyPQxNjhi;https://t.me/c/693511227/457;11.02.2026 16:03
239;Люберцы, п. ВУГИ, д.20;;ВУГИ, д.20;https://t.me/+cz1gESU0qkNjZmNi;https://t.me/c/794154324/458;11.02.2026 16:04
240;Люберцы, п. ВУГИ, д.21;;ВУГИ, д.21;https://t.me/+oZnWvrnbfTRjNDgy;https://t.me/c/682338248/459;11.02.2026 16:04
241;Люберцы, п. ВУГИ, д.22;;ВУГИ, д.22;https://t.me/+1eISLvfjyu9kZTQy;https://t.me/c/747535104/460;11.02.2026 16:05
242;Люберцы, п. ВУГИ, д.23;;ВУГИ, д.23;https://t.me/+5TpQtNjlhclkNDNi;https://t.me/c/683699612/461;11.02.2026 16:06
243;Люберцы, п. ВУГИ, д.24;;ВУГИ, д.24;https://t.me/+V-AIzfAd4V8yOWUy;https://t.me/c/796239121/462;11.02.2026 16:06
244;Люберцы, п. ВУГИ, д.25;;ВУГИ, д.25;https://t.me/+3xZXSWYSJbBiYWFi;https://t.me/c/651882511/463;11.02.2026 16:07
245;Люберцы, п. ВУГИ, д.26;;ВУГИ, д.26;https://t.me/+l-wK_SM_kiIwYjky;https://t.me/c/674659926/464;11.02.2026 16:07
246;Люберцы, п. ВУГИ, д.4;;ВУГИ, д.4;https://t.me/+2O6tV9aaOSdlZjZi;https://t.me/c/747782253/465;11.02.2026 16:08
247;Люберцы, п. ВУГИ, д.6;;ВУГИ, д.6;https://t.me/+1Web9xjwaSI1OGE6;https://t.me/c/777329910/466;11.02.2026 16:08
248;Люберцы, п. ВУГИ, д.7;;ВУГИ, д.7;https://t.me/+b8YMw8PdJQYxZmQy;https://t.me/c/741144597/467;11.02.2026 16:09
249;Люберцы, п. ВУГИ, д.8;;ВУГИ, д.8;https://t.me/+ntw8ouSjlDA2MTIy;https://t.me/c/683924744/468;11.02.2026 16:09
250;Люберцы, п. ВУГИ, д.9;;ВУГИ, д.9;https://t.me/+y3-C2Luskm1kYTIy;https://t.me/c/723812259/469;11.02.2026 16:10
251;Мира ул, 1;;Люберцы г, Мира ул, 1;https://t.me/+G5pHq0DnsFEzODgy;https://t.me/c/1715730580/1868;11.02.2026 16:11
252;Мира ул, 1 А;;Люберцы г, Мира ул, 1 А;https://t.me/+4etE5XLtw8g1NGQy;https://t.me/c/1780362659/1608;11.02.2026 16:11
253;Мира ул, 11 А;;Люберцы г, Мира ул, 11 А;https://t.me/+1s9uoRo7SzZjZWRi;https://t.me/c/1442982146/1481;11.02.2026 16:12
254;Мира ул, 19;;Люберцы г, Мира ул, 19;https://t.me/+2iEQFldJe_VjMWE6;https://t.me/c/1574954967/12314;11.02.2026 16:12
255;Мира ул, 2;;Люберцы г, Мира ул, 2;https://t.me/+ssmkzfFZB3MxNWVi;https://t.me/c/1674423637/1674;11.02.2026 16:13
256;Мира ул, 3;;Люберцы г, Мира ул, 3;https://t.me/+ZWoq2yLNIIxkMWYy;https://t.me/c/1660414741/2447;11.02.2026 16:14
257;Мира ул, 4;;Люберцы г, Мира ул, 4;https://t.me/+JWccg5eMBsMyMmEy;https://t.me/c/1369364007/1603;11.02.2026 16:14
258;Мира ул, 5;;Люберцы г, Мира ул, 5;https://t.me/+vCfATCjnIzQ5MTUy;https://t.me/c/1796720412/1385;11.02.2026 16:15
259;Мира ул, 6;;Люберцы г, Мира ул, 6;https://t.me/+BEybml0y-AczMWNi;https://t.me/c/1203500481/2689;11.02.2026 16:15
260;Мира ул, 7 А;;Люберцы г, Мира ул, 7 А;https://t.me/+IB3o_9xk7wkxMGVi;https://t.me/c/1715612229/2713;11.02.2026 16:16
261;Мира ул, 8;;Люберцы г, Мира ул, 8;https://t.me/+o-aGYDRpltswMmEy;https://t.me/c/1789533483/1692;11.02.2026 16:16
262;Мира ул, 9;;Люберцы г, Мира ул, 9;https://t.me/+NkBET4dtENdhNTUy;https://t.me/c/1587407840/2187;11.02.2026 16:17
263;Молодежная ул, 10;;Люберцы г, Молодежная ул, 10;https://t.me/+h_XALy7dBPAyYzJi;https://t.me/c/1764095721/6515;11.02.2026 16:17
264;Молодежная ул, 12;;Люберцы г, Молодежная ул, 12;https://t.me/+bw4yVdLW4r5mZmYy;https://t.me/c/1699535319/2712;11.02.2026 16:18
265;Молодежная ул, 14;;Люберцы г, Молодежная ул, 14;https://t.me/+VZZbg4RoYPo0YTMy;https://t.me/c/1616801453/3113;11.02.2026 16:18
266;Молодежная ул, 4;;Люберцы г, Молодежная ул, 4;https://t.me/+rIGzeV3vuo1kY2Ri;https://t.me/c/1559051905/5721;11.02.2026 16:19
267;Молодежная ул, 6;;Люберцы г, Молодежная ул, 6;https://t.me/+eFXApvGDVU03YThi;https://t.me/c/1722338951/3427;11.02.2026 16:19
268;Молодежная ул, 8;;Люберцы г, Молодежная ул, 8;https://t.me/+Pmr7dr_GoeJiMTZi;https://t.me/c/1669401037/2548;11.02.2026 16:20
269;Октябрьский пр-кт, 250;;Люберцы г, Октябрьский пр-кт, 250;https://t.me/+LLOS18b-5wU0MjAy;https://t.me/c/1699622247/6339;11.02.2026 16:30
270;Октябрьский пр-кт, 250 А;;Люберцы г, Октябрьский пр-кт, 250 А;https://t.me/+yjgMkh5pCGNlODZi;https://t.me/c/1449732939/4211;11.02.2026 16:31
271;Октябрьский пр-кт, 263;;Люберцы г, Октябрьский пр-кт, 263;https://t.me/+WVviml3C405iYzky;https://t.me/c/1756674754/5336;11.02.2026 16:31
272;Октябрьский пр-кт, 265;;Люберцы г, Октябрьский пр-кт, 265;https://t.me/+6bMCSz0RdGozMzcy;https://t.me/c/1751748257/4328;11.02.2026 16:32
273;Октябрьский пр-кт, 266;;Люберцы г, Октябрьский пр-кт, 266;https://t.me/+ffmenzuzFTRkNTA6;https://t.me/c/1686354717/2995;11.02.2026 16:32
274;Октябрьский пр-кт, 267;;Люберцы г, Октябрьский пр-кт, 267;https://t.me/+Zt0FSvntkbdkMTRi;https://t.me/c/1311436354/5467;11.02.2026 16:33
275;Октябрьский пр-кт, 290;;Люберцы г, Октябрьский пр-кт, 290;https://t.me/+GTZMHa7xDwY2Nzgy;https://t.me/c/1640702292/3779;11.02.2026 16:33
276;Октябрьский пр-кт, 292;;Люберцы г, Октябрьский пр-кт, 292;https://t.me/+iGn1yPXkhydlMzNi;https://t.me/c/1790789927/6344;11.02.2026 16:34
277;Октябрьский пр-кт, 293/301;;Люберцы г, Октябрьский пр-кт, 293/301 (Октябрьский пр-кт, 301/293 );https://t.me/+Zq-bnuavN-hmNDQy;https://t.me/c/1776229385/3558;11.02.2026 16:34
278;Октябрьский пр-кт, 294;;Люберцы г, Октябрьский пр-кт, 294;https://t.me/+dJ_ejxTQjkY0ODVi;https://t.me/c/1501559973/2873;11.02.2026 16:35
279;Октябрьский пр-кт, 294 2;;Люберцы г, Октябрьский пр-кт, 294 2;https://t.me/+7bOpvOBUIR85M2Ni;https://t.me/c/1650773721/2150;11.02.2026 16:35
280;Октябрьский пр-кт, 295/1 (Хлебозаводская ул, 1/295 );;Люберцы г, Октябрьский пр-кт, 295/1 (Хлебозаводская ул, 1/295 );https://t.me/+zZLGu8JUmCYwNWUy;https://t.me/c/1599578508/2244;11.02.2026 16:36
281;Октябрьский пр-кт, 296;;Люберцы г, Октябрьский пр-кт, 296;https://t.me/+mfS_hq9msoU2ODVi;https://t.me/c/1656346115/2483;11.02.2026 16:37
282;Октябрьский пр-кт, 298;;Люберцы г, Октябрьский пр-кт, 298;https://t.me/+xKTAcPSOxa1iZjI6;https://t.me/c/1551424464/2250;11.02.2026 16:37
283;Октябрьский пр-кт, 300;;Люберцы г, Октябрьский пр-кт, 300;https://t.me/+8f0Ev3VUF980MzAy;https://t.me/c/1238282633/3864;11.02.2026 16:38
284;Октябрьский пр-кт, 304;;Люберцы г, Октябрьский пр-кт, 304;https://t.me/+2UyNEGfxigAyYzhi;https://t.me/c/1533023321/3227;11.02.2026 16:38
285;Октябрьский пр-кт, 306;;Люберцы г, Октябрьский пр-кт, 306;https://t.me/+LITpANfdUtQ3ZDcy;https://t.me/c/1777864358/5838;11.02.2026 16:39
286;Октябрьский пр-кт, 327;;Люберцы г, Октябрьский пр-кт, 327;https://t.me/+GYpaQJ0WBK5iOTUy;https://t.me/c/1602355190/2724;11.02.2026 16:39
287;Октябрьский пр-кт, 329;;Люберцы г, Октябрьский пр-кт, 329;https://t.me/+ZQHyJsOtAFk0NWYy;https://t.me/c/1178137057/4809;11.02.2026 16:40
288;Октябрьский пр-кт, 339;;Люберцы г, Октябрьский пр-кт, 339;https://t.me/+RzyLC77f9fo2MTky;https://t.me/c/1661696298/1526;11.02.2026 16:40
289;Октябрьский пр-кт, 339 А;;Люберцы г, Октябрьский пр-кт, 339 А;https://t.me/+vtB0QeDP5lE0MmJi;https://t.me/c/1595105473/3963;11.02.2026 16:41
290;Октябрьский пр-кт, 339 Б;;Люберцы г, Октябрьский пр-кт, 339 Б;https://t.me/+tU7m7CCTntU2NmUy;https://t.me/c/1783085439/1020;11.02.2026 16:41
291;Октябрьский пр-кт, 341;;Люберцы г, Октябрьский пр-кт, 341;https://t.me/+Yr6bRIKuudg1OTgy;https://t.me/c/1553408740/4755;11.02.2026 16:42
292;Октябрьский пр-кт, 341 А;;Люберцы г, Октябрьский пр-кт, 341 А;https://t.me/+iH1vL7zsQBFlZWUy;https://t.me/c/1504528408/2428;11.02.2026 16:42
293;Октябрьский пр-кт, 341 Б;;Люберцы г, Октябрьский пр-кт, 341 Б;https://t.me/+uw8h2FCtFDVhMWIy;https://t.me/c/1283155347/4857;11.02.2026 16:43
294;Октябрьский пр-кт, 346 К;;Люберцы г, Октябрьский пр-кт, 346 К;https://t.me/+GTBOFc5LwndjNmRi;https://t.me/c/1226742435/2772;11.02.2026 16:43
295;Октябрьский пр-кт, 346 Л;;Люберцы г, Октябрьский пр-кт, 346 Л;https://t.me/+Bcjg4rQIaUw2YWQy;https://t.me/c/1756954343/1864;11.02.2026 16:44
296;Октябрьский пр-кт, 346 М;;Люберцы г, Октябрьский пр-кт, 346 М;https://t.me/+oIKm64UQvs1mYzgy;https://t.me/c/1689251767/4117;11.02.2026 16:45
297;Октябрьский пр-кт, 350 В;;Люберцы г, Октябрьский пр-кт, 350 В;https://t.me/+6TV89x3ewYYzODBi;https://t.me/c/1533700174/1675;11.02.2026 16:45
298;Октябрьский пр-кт, 352 Б;;Люберцы г, Октябрьский пр-кт, 352 Б;https://t.me/+PvDNMtfKIIRjMTEy;https://t.me/c/1622511086/2266;11.02.2026 16:46
299;Октябрьский пр-кт, 352 Н;;Люберцы г, Октябрьский пр-кт, 352 Н;https://t.me/+D-MUlIoIvnA1OGMy;https://t.me/c/1748004444/1572;11.02.2026 16:46
300;Октябрьский пр-кт, 358;;Люберцы г, Октябрьский пр-кт, 358;https://t.me/+cEnO03r3E0thZjli;https://t.me/c/1641323045/4124;11.02.2026 16:47
301;Октябрьский пр-кт, 362;;Люберцы г, Октябрьский пр-кт, 362;https://t.me/+NEHC4Npbhtg4MzUy;https://t.me/c/1689988252/3525;11.02.2026 16:47
302;Октябрьский пр-кт, 364;;Люберцы г, Октябрьский пр-кт, 364;https://t.me/+eSVKCkaGWfM0MDFi;https://t.me/c/1710472665/3370;11.02.2026 16:48
303;Октябрьский пр-кт, 365;;Люберцы г, Октябрьский пр-кт, 365;https://t.me/+l7ueacgd5QFjMWMy;https://t.me/c/1613063179/3595;11.02.2026 16:48
304;Октябрьский пр-кт, 373;;Люберцы г, Октябрьский пр-кт, 373;https://t.me/+dsUYzlqcldo5NWQy;https://t.me/c/1584421650/7515;11.02.2026 16:49
305;Октябрьский пр-кт, 373 5;;Люберцы г, Октябрьский пр-кт, 373 5;https://t.me/+BTsDSXiDG0sxY2Yy;https://t.me/c/1765165696/1089;11.02.2026 16:49
306;Октябрьский пр-кт, 373 6;;Люберцы г, Октябрьский пр-кт, 373 6;https://t.me/+SYx2Hea32zgxOWMy;https://t.me/c/1543977007/876;11.02.2026 16:50
307;Октябрьский пр-кт, 373 7;;Люберцы г, Октябрьский пр-кт, 373 7;https://t.me/+8cubD2zjbh9iNTYy;https://t.me/c/1603278787/1160;11.02.2026 16:50
308;Октябрьский пр-кт, 373 8;;Люберцы г, Октябрьский пр-кт, 373 8;https://t.me/+z6dOhokTdKc2MzEy;https://t.me/c/1670030754/969;11.02.2026 16:51
309;Октябрьский пр-кт, 373 А;;Люберцы г, Октябрьский пр-кт, 373 А;https://t.me/+JJi24_l0p9Q5YThi;https://t.me/c/1511213487/1097;11.02.2026 16:51
310;Октябрьский пр-кт, 373 Б;;Люберцы г, Октябрьский пр-кт, 373 Б;https://t.me/+sAsilBDYuV5hOTUy;https://t.me/c/1655617768/2162;11.02.2026 16:52
311;Октябрьский пр-кт, 373/7;;Люберцы г, Октябрьский пр-кт, 373/7;https://t.me/+p9I0CPwoNeozOGEy;https://t.me/c/1179361790/1439;11.02.2026 16:53
312;Октябрьский пр-кт, 375 1;;Люберцы г, Октябрьский пр-кт, 375 1;https://t.me/+8lJBCENzu_A1MTYy;https://t.me/c/1576979587/1042;11.02.2026 16:53
